;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;comercio;fabrica de;prado;3.0;10.0;2018-07-13;5000000.0;microempresarial
1;femenino;servicio;recreativo educativo;barrio caicedo;1.0;9.0;2017-10-30;6000000.0;microempresarial
2;femenino;comercio;tienda;aranjuez;2.0;4.0;2017-08-03;7300000.0;microempresarial
3;masculino;comercio;variedades;cabecera san cristobal;3.0;;2017-11-20;7000000.0;microempresarial
4;femenino;comercio;fabrica de;robledo;2.0;7.0;2017-02-23;5000000.0;microempresarial
5;femenino;comercio;variedades;picachito;1.0;6.0;2017-05-31;7000000.0;microempresarial
6;femenino;industria;fabrica de;guayabal;3.0;15.0;2016-02-20;2000000.0;microempresarial
7;femenino;comercio;tienda;carpinelo;1.0;1.0;2017-02-14;3300000.0;microempresarial
8;masculino;comercio;variedades;belalcazar;2.0;5.0;2018-05-07;7800000.0;microempresarial
9;femenino;comercio;variedades;manrique central no. 1;1.0;4.0;2018-05-03;7800000.0;microempresarial
10;femenino;industria;fabrica de;manrique central no. 2;2.0;3.0;2017-02-28;4500000.0;microempresarial
11;masculino;agropecuaria;sembrados;santa elena central;2.0;;2016-12-23;13000000.0;agropecuaria
12;femenino;comercio;comidas rapidas;andalucia;2.0;2.0;2018-04-12;7800000.0;microempresarial
13;masculino;industria;fabrica de;san javier no.1;1.0;13.0;2018-08-23;4000000.0;microempresarial
14;masculino;servicio;variedades;belencito;2.0;13.0;2018-07-30;7800000.0;microempresarial
15;masculino;comercio;miscelanea;centro admtivo;3.0;10.0;2018-02-14;1000000.0;microempresarial
16;femenino;comercio;variedades;cabecera san antonio;2.0;;2017-11-16;7000000.0;microempresarial
17;femenino;servicio;cafe e internet;manrique central no. 1;3.0;4.0;2019-04-29;8000000.0;microempresarial
18;masculino;comercio;tienda;villa hermosa;3.0;8.0;2018-06-27;5000000.0;microempresarial
19;femenino;comercio;venta de calzado;playon de los;2.0;2.0;2017-02-27;7000000.0;microempresarial
20;femenino;comercio;productos de belleza;buenos aires;3.0;9.0;2017-07-24;7300000.0;microempresarial
21;masculino;comercio;tienda;manrique central no. 1;2.0;4.0;2018-09-14;6000000.0;microempresarial
22;femenino;comercio;tienda;popular;2.0;1.0;2018-10-11;6000000.0;microempresarial
23;femenino;comercio;almacen de ropa en;robledo;2.0;7.0;2018-02-15;6000000.0;microempresarial
24;femenino;comercio;variedades;tricentenario;3.0;5.0;2017-11-20;4000000.0;microempresarial
25;masculino;servicio;barberia;calasanz;2.0;12.0;2017-09-26;7377000.0;microempresarial
26;masculino;industria;fabrica de;aranjuez;3.0;4.0;2016-10-24;6500000.0;microempresarial
27;femenino;comercio;comidas rapidas;buenos aires;2.0;9.0;2019-06-28;1500000.0;microempresarial
28;masculino;comercio;variedades;andalucia;2.0;2.0;2018-08-17;7800000.0;microempresarial
29;femenino;servicio;peluqueria;pedregal;3.0;6.0;2017-10-27;7300000.0;microempresarial
30;femenino;servicio;jardineria;la francia;2.0;2.0;2017-06-12;7377000.0;microempresarial
31;femenino;comercio;variedades;santa cruz;2.0;2.0;2017-06-14;4000000.0;microempresarial
32;femenino;comercio;tienda;san javier no.1;2.0;13.0;2018-02-06;7800000.0;microempresarial
33;femenino;comercio;variedades;la floresta;3.0;12.0;2017-09-05;7300000.0;microempresarial
34;femenino;comercio;variedades;belen;3.0;16.0;2016-09-16;6890000.0;microempresarial
35;masculino;comercio;tienda;las brisas;3.0;5.0;2018-01-15;6000000.0;microempresarial
36;femenino;comercio;peluqueria;castilla;3.0;5.0;2017-08-11;2500000.0;microempresarial
37;masculino;industria;fabrica de alimentos;san javier no.1;2.0;13.0;2016-10-27;6800000.0;microempresarial
38;femenino;comercio;almacen de ropa en;cabecera san antonio;2.0;;2016-09-22;4000000.0;microempresarial
39;masculino;industria;variedades;cabecera san antonio;2.0;;2017-07-24;5000000.0;credioportuno
40;masculino;industria;fabrica de;guayabal;2.0;15.0;2016-03-02;4000000.0;microempresarial
41;masculino;industria;fabrica de;belen;2.0;16.0;2016-05-24;6500000.0;microempresarial
42;femenino;comercio;comidas rapidas;santander;2.0;6.0;2018-07-27;1200000.0;microempresarial
43;femenino;comercio;almacen de ropa en;prado;3.0;10.0;2017-11-20;7000000.0;microempresarial
44;femenino;comercio;comidas rapidas;santa cruz;2.0;2.0;2018-03-22;1500000.0;microempresarial
45;masculino;industria;fabrica de traperos;aranjuez;3.0;4.0;2016-02-24;2000000.0;microempresarial
46;femenino;comercio;variedades;castilla;3.0;5.0;2017-02-15;4000000.0;microempresarial
47;masculino;industria;fabrica de alimentos;san javier no.2;3.0;13.0;2016-02-29;6890000.0;microempresarial
49;masculino;industria;fabrica de;san javier no.1;1.0;13.0;2017-08-15;6000000.0;microempresarial
50;masculino;servicio;variedades;pedregal;3.0;6.0;2017-04-24;7000000.0;microempresarial
